num_elems = 134217728; Array is used; 
   Precision;   [GOPs/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its
 Ac<3, d, d>; 9481.99215;  588.03052;    1.82600;  17314086912;   1073741824;         1;         4;       64
 Ac<3, d, d>; 9587.72250;  298.45051;    3.59772;  34493956096;   1073741824;         1;         4;      128
 Ac<3, d, d>; 9622.94436;  199.95729;    5.36986;  51673825280;   1073741824;         1;         4;      192
 Ac<3, d, d>; 9615.59538;  149.95081;    7.16063;  68853694464;   1073741824;         1;         4;      256
 Ac<3, d, d>; 9651.77166;   75.33090;   14.25367; 137573171200;   1073741824;         1;         4;      512
 Ac<3, d, d>;  187.19224; 1497.53790;    0.71700;    134217728;   1073741824;         1;         8;        0
 Ac<3, d, d>;  562.54076; 1500.10870;    0.71578;    402653184;   1073741824;         1;         8;        1
 Ac<3, d, d>;  937.56792; 1500.10867;    0.71578;    671088640;   1073741824;         1;         8;        2
 Ac<3, d, d>; 1312.21965; 1499.67960;    0.71598;    939524096;   1073741824;         1;         8;        3
 Ac<3, d, d>; 1687.13955; 1499.67960;    0.71598;   1207959552;   1073741824;         1;         8;        4
 Ac<3, d, d>; 2061.46982; 1499.25077;    0.71619;   1476395008;   1073741824;         1;         8;        5
 Ac<3, d, d>; 2433.49908; 1497.53790;    0.71700;   1744830464;   1073741824;         1;         8;        6
 Ac<3, d, d>; 2807.88351; 1497.53787;    0.71700;   2013265920;   1073741824;         1;         8;        7
 Ac<3, d, d>; 3180.45113; 1496.68289;    0.71741;   2281701376;   1073741824;         1;         8;        8
 Ac<3, d, d>; 3552.59353; 1495.82885;    0.71782;   2550136832;   1073741824;         1;         8;        9
 Ac<3, d, d>; 3924.31146; 1494.97579;    0.71823;   2818572288;   1073741824;         1;         8;       10
 Ac<3, d, d>; 4296.83018; 1494.54963;    0.71844;   3087007744;   1073741824;         1;         8;       11
 Ac<3, d, d>; 4673.13188; 1495.40220;    0.71803;   3355443200;   1073741824;         1;         8;       12
 Ac<3, d, d>; 5041.23084; 1493.69803;    0.71885;   3623878656;   1073741824;         1;         8;       13
 Ac<3, d, d>; 5416.19843; 1494.12371;    0.71864;   3892314112;   1073741824;         1;         8;       14
 Ac<3, d, d>; 5784.78365; 1492.84739;    0.71926;   4160749568;   1073741824;         1;         8;       15
 Ac<3, d, d>; 6152.73971; 1491.57326;    0.71987;   4429185024;   1073741824;         1;         8;       16
 Ac<3, d, d>; 9109.96862; 1487.34182;    0.72192;   6576668672;   1073741824;         1;         8;       24
 Ac<3, d, d>; 9449.51201; 1163.01686;    0.92324;   8724152320;   1073741824;         1;         8;       32
 Ac<3, d, d>; 9497.97090;  938.07120;    1.14463;  10871635968;   1073741824;         1;         8;       40
 Ac<3, d, d>; 9529.29374;  785.92113;    1.36622;  13019119616;   1073741824;         1;         8;       48
 Ac<3, d, d>; 9534.65716;  675.01998;    1.59068;  15166603264;   1073741824;         1;         8;       56
 Ac<3, d, d>; 9555.94456;  592.61672;    1.81187;  17314086912;   1073741824;         1;         8;       64
 Ac<3, d, d>; 9627.18006;  299.67876;    3.58298;  34493956096;   1073741824;         1;         8;      128
 Ac<3, d, d>; 9642.43523;  200.36229;    5.35900;  51673825280;   1073741824;         1;         8;      192
 Ac<3, d, d>; 9633.78078;  150.23440;    7.14711;  68853694464;   1073741824;         1;         8;      256
 Ac<3, d, d>; 9662.32260;   75.41325;   14.23811; 137573171200;   1073741824;         1;         8;      512
 Ac<3, d, d>;  187.19223; 1497.53787;    0.71700;    134217728;   1073741824;         4;         4;        0
 Ac<3, d, d>;  561.41635; 1497.11027;    0.71721;    402653184;   1073741824;         4;         4;        1
 Ac<3, d, d>;  935.69392; 1497.11027;    0.71721;    671088640;   1073741824;         4;         4;        2
 Ac<3, d, d>; 1309.97149; 1497.11027;    0.71721;    939524096;   1073741824;         4;         4;        3
 Ac<3, d, d>; 1684.24905; 1497.11027;    0.71721;   1207959552;   1073741824;         4;         4;        4
 Ac<3, d, d>; 2057.93897; 1496.68289;    0.71741;   1476395008;   1073741824;         4;         4;        5
 Ac<3, d, d>; 2430.02858; 1495.40220;    0.71803;   1744830464;   1073741824;         4;         4;        6
 Ac<3, d, d>; 2806.28041; 1496.68289;    0.71741;   2013265920;   1073741824;         4;         4;        7
 Ac<3, d, d>; 3177.72968; 1495.40220;    0.71803;   2281701376;   1073741824;         4;         4;        8
 Ac<3, d, d>; 3549.55537; 1494.54963;    0.71844;   2550136832;   1073741824;         4;         4;        9
 Ac<3, d, d>; 3922.07473; 1494.12371;    0.71864;   2818572288;   1073741824;         4;         4;       10
 Ac<3, d, d>; 4291.93626; 1492.84739;    0.71926;   3087007744;   1073741824;         4;         4;       11
 Ac<3, d, d>; 4665.14811; 1492.84739;    0.71926;   3355443200;   1073741824;         4;         4;       12
 Ac<3, d, d>; 5035.49234; 1491.99773;    0.71967;   3623878656;   1073741824;         4;         4;       13
 Ac<3, d, d>; 5406.95307; 1491.57326;    0.71987;   3892314112;   1073741824;         4;         4;       14
 Ac<3, d, d>; 5781.49121; 1491.99773;    0.71967;   4160749568;   1073741824;         4;         4;       15
 Ac<3, d, d>; 6152.73971; 1491.57326;    0.71987;   4429185024;   1073741824;         4;         4;       16
 Ac<3, d, d>; 8940.04456; 1459.59911;    0.73564;   6576668672;   1073741824;         4;         4;       24
 Ac<3, d, d>; 9222.42919; 1135.06821;    0.94597;   8724152320;   1073741824;         4;         4;       32
 Ac<3, d, d>; 9314.64491;  919.96493;    1.16716;  10871635968;   1073741824;         4;         4;       40
 Ac<3, d, d>; 9380.24522;  773.62847;    1.38793;  13019119616;   1073741824;         4;         4;       48
 Ac<3, d, d>; 9420.64380;  666.94823;    1.60993;  15166603264;   1073741824;         4;         4;       56
 Ac<3, d, d>; 9451.25097;  586.12409;    1.83194;  17314086912;   1073741824;         4;         4;       64
 Ac<3, d, d>; 9547.50387;  297.19856;    3.61288;  34493956096;   1073741824;         4;         4;      128
 Ac<3, d, d>; 9602.80112;  199.53872;    5.38112;  51673825280;   1073741824;         4;         4;      192
 Ac<3, d, d>; 9597.47888;  149.66829;    7.17414;  68853694464;   1073741824;         4;         4;      256
 Ac<3, d, d>; 9638.75340;   75.22929;   14.27292; 137573171200;   1073741824;         4;         4;      512
 Ac<3, d, d>;  186.71225; 1493.69803;    0.71885;    134217728;   1073741824;         4;         8;        0
 Ac<3, d, d>;  561.09591; 1496.25575;    0.71762;    402653184;   1073741824;         4;         8;        1
 Ac<3, d, d>;  934.09352; 1494.54963;    0.71844;    671088640;   1073741824;         4;         8;        2
 Ac<3, d, d>; 1307.35824; 1494.12371;    0.71864;    939524096;   1073741824;         4;         8;        3
 Ac<3, d, d>; 1680.88917; 1494.12371;    0.71864;   1207959552;   1073741824;         4;         8;        4
 Ac<3, d, d>; 2052.66517; 1492.84739;    0.71926;   1476395008;   1073741824;         4;         8;        5
 Ac<3, d, d>; 2423.11718; 1491.14903;    0.72008;   1744830464;   1073741824;         4;         8;        6
 Ac<3, d, d>; 2796.69987; 1491.57326;    0.71987;   2013265920;   1073741824;         4;         8;        7
 Ac<3, d, d>; 3167.79073; 1490.72505;    0.72028;   2281701376;   1073741824;         4;         8;        8
 Ac<3, d, d>; 3544.50330; 1492.42244;    0.71946;   2550136832;   1073741824;         4;         8;        9
 Ac<3, d, d>; 3912.04092; 1490.30130;    0.72049;   2818572288;   1073741824;         4;         8;       10
 Ac<3, d, d>; 4285.83451; 1490.72505;    0.72028;   3087007744;   1073741824;         4;         8;       11
 Ac<3, d, d>; 4650.58182; 1488.18618;    0.72151;   3355443200;   1073741824;         4;         8;       12
 Ac<3, d, d>; 5028.33757; 1489.87780;    0.72069;   3623878656;   1073741824;         4;         8;       13
 Ac<3, d, d>; 5393.14407; 1487.76388;    0.72172;   3892314112;   1073741824;         4;         8;       14
 Ac<3, d, d>; 5761.81497; 1486.91999;    0.72212;   4160749568;   1073741824;         4;         8;       15
 Ac<3, d, d>; 6128.33091; 1485.65598;    0.72274;   4429185024;   1073741824;         4;         8;       16
 Ac<3, d, d>; 9025.47492; 1473.54693;    0.72868;   6576668672;   1073741824;         4;         8;       24
 Ac<3, d, d>; 9335.61231; 1148.99844;    0.93450;   8724152320;   1073741824;         4;         8;       32
 Ac<3, d, d>; 9403.74860;  928.76529;    1.15610;  10871635968;   1073741824;         4;         8;       40
 Ac<3, d, d>; 9458.40209;  780.07440;    1.37646;  13019119616;   1073741824;         4;         8;       48
 Ac<3, d, d>; 9457.94095;  669.58874;    1.60358;  15166603264;   1073741824;         4;         8;       56
 Ac<3, d, d>; 9484.11960;  588.16246;    1.82559;  17314086912;   1073741824;         4;         8;       64
 Ac<3, d, d>; 9572.46485;  297.97556;    3.60346;  34493956096;   1073741824;         4;         8;      128
 Ac<3, d, d>; 9610.48199;  199.69833;    5.37682;  51673825280;   1073741824;         4;         8;      192
 Ac<3, d, d>; 9592.82353;  149.59569;    7.17763;  68853694464;   1073741824;         4;         8;      256
 Ac<3, d, d>; 9629.49595;   75.15704;   14.28664; 137573171200;   1073741824;         4;         8;      512
 Ac<3, d, f>;  367.35426; 1469.41705;    0.36536;    134217728;    536870912;         1;         4;        0
 Ac<3, d, f>; 1100.21264; 1466.95018;    0.36598;    402653184;    536870912;         1;         4;        1
 Ac<3, d, f>; 1835.74230; 1468.59384;    0.36557;    671088640;    536870912;         1;         4;        2
 Ac<3, d, f>; 2572.92198; 1470.24113;    0.36516;    939524096;    536870912;         1;         4;        3
 Ac<3, d, f>; 3296.94801; 1465.31023;    0.36639;   1207959552;    536870912;         1;         4;        4
 Ac<3, d, f>; 4029.60306; 1465.31020;    0.36639;   1476395008;    536870912;         1;         4;        5
 Ac<3, d, f>; 4754.28580; 1462.85717;    0.36700;   1744830464;    536870912;         1;         4;        6
 Ac<3, d, f>; 5467.40819; 1457.97552;    0.36823;   2013265920;    536870912;         1;         4;        7
 Ac<3, d, f>; 6179.21225; 1453.93229;    0.36925;   2281701376;    536870912;         1;         4;        8
 Ac<3, d, f>; 6906.17840; 1453.93229;    0.36925;   2550136832;    536870912;         1;         4;        9
 Ac<3, d, f>; 7612.03527; 1449.91148;    0.37028;   2818572288;    536870912;         1;         4;       10
 Ac<3, d, f>; 8397.37052; 1460.41227;    0.36762;   3087007744;    536870912;         1;         4;       11
 Ac<3, d, f>; 8659.61945; 1385.53911;    0.38748;   3355443200;    536870912;         1;         4;       12
 Ac<3, d, f>; 8746.77221; 1295.81811;    0.41431;   3623878656;    536870912;         1;         4;       13
 Ac<3, d, f>; 8819.22984; 1216.44550;    0.44134;   3892314112;    536870912;         1;         4;       14
 Ac<3, d, f>; 8863.94419; 1143.73473;    0.46940;   4160749568;    536870912;         1;         4;       15
 Ac<3, d, f>; 8910.95179; 1080.11537;    0.49705;   4429185024;    536870912;         1;         4;       16
 Ac<3, d, f>; 9154.11647;  747.27481;    0.71844;   6576668672;    536870912;         1;         4;       24
 Ac<3, d, f>; 9294.87241;  571.99215;    0.93860;   8724152320;    536870912;         1;         4;       32
 Ac<3, d, f>; 9370.54888;  462.74315;    1.16019;  10871635968;    536870912;         1;         4;       40
 Ac<3, d, f>; 9423.34993;  388.59175;    1.38158;  13019119616;    536870912;         1;         4;       48
 Ac<3, d, f>; 9461.56610;  334.92269;    1.60297;  15166603264;    536870912;         1;         4;       56
 Ac<3, d, f>; 9488.37738;  294.21325;    1.82477;  17314086912;    536870912;         1;         4;       64
 Ac<3, d, f>; 9589.36013;  149.25074;    3.59711;  34493956096;    536870912;         1;         4;      128
 Ac<3, d, f>; 9620.74280;   99.95577;    5.37108;  51673825280;    536870912;         1;         4;      192
 Ac<3, d, f>; 9610.09832;   74.93254;    7.16472;  68853694464;    536870912;         1;         4;      256
 Ac<3, d, f>; 9649.55329;   37.65679;   14.25695; 137573171200;    536870912;         1;         4;      512
 Ac<3, d, f>;  366.12291; 1464.49164;    0.36659;    134217728;    536870912;         1;         8;        0
 Ac<3, d, f>; 1097.75543; 1463.67391;    0.36680;    402653184;    536870912;         1;         8;        1
 Ac<3, d, f>; 1830.61455; 1464.49164;    0.36659;    671088640;    536870912;         1;         8;        2
 Ac<3, d, f>; 2561.42939; 1463.67394;    0.36680;    939524096;    536870912;         1;         8;        3
 Ac<3, d, f>; 3291.42863; 1462.85717;    0.36700;   1207959552;    536870912;         1;         8;        4
 Ac<3, d, f>; 4025.10339; 1463.67396;    0.36680;   1476395008;    536870912;         1;         8;        5
 Ac<3, d, f>; 4759.59790; 1464.49166;    0.36659;   1744830464;    536870912;         1;         8;        6
 Ac<3, d, f>; 5488.77726; 1463.67394;    0.36680;   2013265920;    536870912;         1;         8;        7
 Ac<3, d, f>; 6210.21188; 1461.22632;    0.36741;   2281701376;    536870912;         1;         8;        8
 Ac<3, d, f>; 6944.69614; 1462.04129;    0.36721;   2550136832;    536870912;         1;         8;        9
 Ac<3, d, f>; 7671.43821; 1461.22632;    0.36741;   2818572288;    536870912;         1;         8;       10
 Ac<3, d, f>; 8392.69489; 1459.59911;    0.36782;   3087007744;    536870912;         1;         8;       11
 Ac<3, d, f>; 9022.02641; 1443.52423;    0.37192;   3355443200;    536870912;         1;         8;       12
 Ac<3, d, f>; 9092.86754; 1347.09149;    0.39854;   3623878656;    536870912;         1;         8;       13
 Ac<3, d, f>; 9150.42871; 1262.12810;    0.42537;   3892314112;    536870912;         1;         8;       14
 Ac<3, d, f>; 9172.08132; 1183.49436;    0.45363;   4160749568;    536870912;         1;         8;       15
 Ac<3, d, f>; 9218.61906; 1117.40837;    0.48046;   4429185024;    536870912;         1;         8;       16
 Ac<3, d, f>; 9362.28592;  764.26824;    0.70246;   6576668672;    536870912;         1;         8;       24
 Ac<3, d, f>; 9466.31127;  582.54223;    0.92160;   8724152320;    536870912;         1;         8;       32
 Ac<3, d, f>; 9513.29033;  469.79211;    1.14278;  10871635968;    536870912;         1;         8;       40
 Ac<3, d, f>; 9543.59995;  393.55051;    1.36417;  13019119616;    536870912;         1;         8;       48
 Ac<3, d, f>; 9555.57134;  338.25031;    1.58720;  15166603264;    536870912;         1;         8;       56
 Ac<3, d, f>; 9580.85207;  297.08068;    1.80716;  17314086912;    536870912;         1;         8;       64
 Ac<3, d, f>; 9635.44143;  149.96796;    3.57990;  34493956096;    536870912;         1;         8;      128
 Ac<3, d, f>; 9650.91791;  100.26928;    5.35429;  51673825280;    536870912;         1;         8;      192
 Ac<3, d, f>; 9634.05678;   75.11935;    7.14691;  68853694464;    536870912;         1;         8;      256
 Ac<3, d, f>; 9659.54373;   37.69578;   14.24220; 137573171200;    536870912;         1;         8;      512
 Ac<3, d, f>;  360.88105; 1443.52420;    0.37192;    134217728;    536870912;         4;         4;        0
 Ac<3, d, f>; 1083.83683; 1445.11578;    0.37151;    402653184;    536870912;         4;         4;        1
 Ac<3, d, f>; 1801.42933; 1441.14346;    0.37253;    671088640;    536870912;         4;         4;        2
 Ac<3, d, f>; 2516.46732; 1437.98133;    0.37335;    939524096;    536870912;         4;         4;        3
 Ac<3, d, f>; 3226.60830; 1434.04813;    0.37437;   1207959552;    536870912;         4;         4;        4
 Ac<3, d, f>; 3935.02181; 1430.91702;    0.37519;   1476395008;    536870912;         4;         4;        5
 Ac<3, d, f>; 4637.82256; 1427.02233;    0.37622;   1744830464;    536870912;         4;         4;        6
 Ac<3, d, f>; 5342.60875; 1424.69567;    0.37683;   2013265920;    536870912;         4;         4;        7
 Ac<3, d, f>; 6015.72359; 1415.46437;    0.37929;   2281701376;    536870912;         4;         4;        8
 Ac<3, d, f>; 6701.74369; 1410.89341;    0.38052;   2550136832;    536870912;         4;         4;        9
