   Precision;   [GOP/s];  BW [GB/s];  time [ms]; computations; data [Bytes]; Outer Its; Inner Its; Comp Its
std::int32_t;10317.82862; 1423.14878;    0.37724;   3892314112;    536870912;         1;         8;       14
std::int32_t;11011.46888; 1420.83469;    0.37786;   4160749568;    536870912;         1;         8;       15
std::int32_t;11683.88992; 1416.22908;    0.37908;   4429185024;    536870912;         1;         8;       16
std::int32_t;15111.83059; 1233.61882;    0.43520;   6576668672;    536870912;         1;         8;       24
std::int32_t;16804.10233; 1034.09860;    0.51917;   8724152320;    536870912;         1;         8;       32
std::int32_t;17461.89518;  862.31581;    0.62259;  10871635968;    536870912;         1;         8;       40
std::int32_t;17841.68365;  735.73953;    0.72970;  13019119616;    536870912;         1;         8;       48
std::int32_t;18097.67343;  640.62561;    0.83804;  15166603264;    536870912;         1;         8;       56
std::int32_t;18251.60600;  565.94127;    0.94863;  17314086912;    536870912;         1;         8;       64
std::int32_t;18789.32587;  292.44087;    1.83583;  34493956096;    536870912;         1;         8;      128
std::int32_t;18916.89869;  196.53921;    2.73162;  51673825280;    536870912;         1;         8;      192
std::int32_t;19116.37455;  149.05555;    3.60182;  68853694464;    536870912;         1;         8;      256
std::int32_t;19250.98881;   75.12581;    7.14629; 137573171200;    536870912;         1;         8;      512
std::int32_t;  359.89017; 1439.56067;    0.37294;    134217728;    536870912;         4;         8;        0
std::int32_t; 1078.48600; 1437.98133;    0.37335;    402653184;    536870912;         4;         8;        1
std::int32_t; 1795.50684; 1436.40547;    0.37376;    671088640;    536870912;         4;         8;        2
std::int32_t; 2513.70957; 1436.40547;    0.37376;    939524096;    536870912;         4;         8;        3
std::int32_t; 3237.23372; 1438.77054;    0.37315;   1207959552;    536870912;         4;         8;        4
std::int32_t; 3958.79178; 1439.56065;    0.37294;   1476395008;    536870912;         4;         8;        5
std::int32_t; 4660.65644; 1434.04813;    0.37437;   1744830464;    536870912;         4;         8;        6
std::int32_t; 5395.38954; 1438.77054;    0.37315;   2013265920;    536870912;         4;         8;        7
std::int32_t; 6101.37990; 1435.61880;    0.37396;   2281701376;    536870912;         4;         8;        8
std::int32_t; 6811.72864; 1434.04813;    0.37437;   2550136832;    536870912;         4;         8;        9
std::int32_t; 7536.99882; 1435.61882;    0.37396;   2818572288;    536870912;         4;         8;       10
std::int32_t; 8227.77289; 1430.91702;    0.37519;   3087007744;    536870912;         4;         8;       11
std::int32_t; 8943.23140; 1430.91702;    0.37519;   3355443200;    536870912;         4;         8;       12
std::int32_t; 9637.64700; 1427.79956;    0.37601;   3623878656;    536870912;         4;         8;       13
std::int32_t;10340.28294; 1426.24592;    0.37642;   3892314112;    536870912;         4;         8;       14
std::int32_t;11047.39547; 1425.47038;    0.37663;   4160749568;    536870912;         4;         8;       15
std::int32_t;11747.35495; 1423.92181;    0.37704;   4429185024;    536870912;         4;         8;       16
std::int32_t;15881.62215; 1296.45895;    0.41411;   6576668672;    536870912;         4;         8;       24
std::int32_t;17401.30709; 1070.84967;    0.50135;   8724152320;    536870912;         4;         8;       32
std::int32_t;17855.41915;  881.74909;    0.60887;  10871635968;    536870912;         4;         8;       40
std::int32_t;18080.18204;  745.57452;    0.72008;  13019119616;    536870912;         4;         8;       48
std::int32_t;18249.30485;  645.99309;    0.83108;  15166603264;    536870912;         4;         8;       56
std::int32_t;18398.57211;  570.49836;    0.94106;  17314086912;    536870912;         4;         8;       64
std::int32_t;18877.77664;  293.81754;    1.82723;  34493956096;    536870912;         4;         8;      128
std::int32_t;19058.35856;  198.00892;    2.71135;  51673825280;    536870912;         4;         8;      192
std::int32_t;18573.54132;  144.82293;    3.70708;  68853694464;    536870912;         4;         8;      256
std::int32_t;18951.72801;   73.95796;    7.25914; 137573171200;    536870912;         4;         8;      512
 Ac<3, i, s>;  706.20689; 1412.41378;    0.19005;    134217728;    268435456;         1;         8;        0
 Ac<3, i, s>; 2109.52787; 1406.35192;    0.19087;    402653184;    268435456;         1;         8;        1
 Ac<3, i, s>; 3508.35119; 1403.34048;    0.19128;    671088640;    268435456;         1;         8;        2
 Ac<3, i, s>; 4895.96575; 1398.84736;    0.19190;    939524096;    268435456;         1;         8;        3
 Ac<3, i, s>; 6281.40572; 1395.86794;    0.19231;   1207959552;    268435456;         1;         8;        4
 Ac<3, i, s>; 7726.64521; 1404.84458;    0.19108;   1476395008;    268435456;         1;         8;        5
 Ac<3, i, s>; 9160.94629; 1409.37635;    0.19046;   1744830464;    268435456;         1;         8;        6
 Ac<3, i, s>;10229.34415; 1363.91255;    0.19681;   2013265920;    268435456;         1;         8;        7
 Ac<3, i, s>;10858.79144; 1277.50488;    0.21012;   2281701376;    268435456;         1;         8;        8
 Ac<3, i, s>;11561.59725; 1217.01024;    0.22057;   2550136832;    268435456;         1;         8;        9
 Ac<3, i, s>;12136.29624; 1155.83774;    0.23224;   2818572288;    268435456;         1;         8;       10
 Ac<3, i, s>;12698.63535; 1104.22916;    0.24310;   3087007744;    268435456;         1;         8;       11
 Ac<3, i, s>;13149.27738; 1051.94219;    0.25518;   3355443200;    268435456;         1;         8;       12
 Ac<3, i, s>;13642.80637; 1010.57825;    0.26563;   3623878656;    268435456;         1;         8;       13
 Ac<3, i, s>;14057.27819;  969.46746;    0.27689;   3892314112;    268435456;         1;         8;       14
 Ac<3, i, s>;14367.86423;  926.95898;    0.28959;   4160749568;    268435456;         1;         8;       15
 Ac<3, i, s>;14722.17855;  892.25325;    0.30085;   4429185024;    268435456;         1;         8;       16
 Ac<3, i, s>;16284.29998;  664.66531;    0.40387;   6576668672;    268435456;         1;         8;       24
 Ac<3, i, s>;17066.66606;  525.12819;    0.51118;   8724152320;    268435456;         1;         8;       32
 Ac<3, i, s>;17513.74413;  432.43813;    0.62075;  10871635968;    268435456;         1;         8;       40
